produce,temperature,humidity,voc,latitude,longitude,city,outside_temp,setpoint,cooler,heater,alert,optimal_setpoint,predicted_shelf_life_days
1,12.157323158557709,89.27567656005472,1776,20.773102,81.118097,1,13.647232924869092,13.0,0,1,0,12.502540539227759,87.6678261932995
0,5.147118087379498,89.03852002074746,1343,11.11261,71.084675,4,28.6458375780497,3.63541624219503,1,0,0,3.951118897819602,81.32500810440104
1,11.718170526768734,84.17049912109319,1094,18.849131,82.615015,3,31.344243824303334,12.365575617569666,0,1,0,12.833840483099374,83.3733004366936
1,10.749098748467302,87.04995658315778,2624,17.207927,71.690353,1,28.591637998119282,12.640836200188073,0,1,1,12.20377471611986,72.33324032347443
1,14.794269977804227,88.49917093443739,1145,19.954468,83.546302,3,26.071671040042194,12.892832895995781,1,0,0,13.252731205364372,78.85961227560145
0,4.397162220168918,93.05917664640958,1469,27.807586,76.509657,1,29.131289595237895,3.5868710404762103,1,0,0,3.636324020332759,85.04661800163842
0,3.141545829646823,90.36252644062398,2866,29.798644,77.389525,1,33.31845276638261,3.168154723361739,0,1,1,3.1387883922889253,85.64242562642103
1,12.450736367050585,82.9217047480544,765,25.820954,76.824773,2,23.929044010067962,13.0,0,1,0,13.36587507596964,87.02361291080943
0,3.848761486779727,91.71101717248749,840,11.924964,82.425707,0,8.952826836135621,4.0,0,1,0,3.541395598299175,92.72634111519449
1,11.155589670996093,89.58827654211352,996,14.104581,72.333968,1,34.5776335760064,12.04223664239936,0,1,0,11.682239748117617,89.75349922878476
0,5.7542697525611715,91.62329162388355,1794,15.314418,77.120039,3,24.448332004949922,4.0,1,0,0,3.767912360687444,71.16642608126273
0,3.9613081788908278,91.75224586619423,2345,28.127691,84.209887,1,6.618668035744947,4.0,0,1,0,4.379870136783728,84.08938042107098
1,11.599892488555966,86.65484412359685,2135,10.701687,77.785593,4,24.853251484363856,13.0,0,1,0,12.561584032885401,79.70808455670566
0,3.025009390950192,86.92044221252789,523,24.314619,70.213423,4,27.28315206696494,3.771684793303506,0,1,0,4.243455256056637,85.20054134893556
0,3.5193349224729675,92.23768023002128,1466,10.067877,72.825765,4,22.17840558387345,4.0,0,1,0,3.504395961292805,92.52061038819838
1,14.800795848942785,80.99388770834652,2395,23.279946,70.373206,2,7.205597166607856,13.0,1,0,0,13.381410166320856,73.83114317378072
0,5.5381691813201375,93.4783832263791,2177,24.976778,83.295159,1,6.692985000076803,4.0,1,0,0,4.167412673649005,75.40743492328866
1,11.240847462236726,83.6008444565694,2367,14.031508,74.271376,1,20.985830144848265,13.0,0,1,0,13.254691429238674,68.02656032998053
0,2.633464206950932,93.31863700495066,2213,9.038589,80.529052,4,25.688217677948135,3.9311782322051867,0,1,0,3.7235318838618103,78.03432323089122
0,4.073433321808054,88.44994091582555,870,16.424989,70.231938,1,20.31308174769743,4.0,1,0,0,3.587252496882311,90.78819175074258
0,1.7124998482097107,93.67258681771703,2998,31.422068,79.344245,3,29.45112261868157,3.554887738131843,0,1,1,3.2213607041952814,69.92139144014428
1,12.637249295978528,85.8354878715977,1953,13.15013,76.113017,2,33.60194969242107,12.139805030757893,1,0,0,12.398787021848513,87.85037725869985
1,11.610374771233214,80.91986343450968,812,18.002105,76.776125,2,15.424833799062622,13.0,0,1,0,13.15840385776091,80.45970913472306
0,4.40422063709876,87.35449496191933,1529,21.572653,84.640485,1,17.57436828773968,4.0,1,0,0,3.887610293548615,87.18889656449856
1,11.026408723289588,88.89431787411135,1262,12.847548,79.075806,1,5.189902638704387,13.0,0,1,0,12.928321876806157,74.67086846483431
0,4.129365830873166,89.46657752730832,1278,17.042082,79.615697,5,20.027655477236333,4.0,1,0,0,4.151709048404743,93.38656782468424
0,4.605438088615655,88.24260961210925,2231,12.997409,84.280168,2,22.094020409454032,4.0,1,0,0,3.784754228604059,80.63816139988404
0,4.154723839049363,88.34138590288683,963,27.631336,73.147906,4,14.563070973976645,4.0,1,0,0,4.040112537384901,94.03888698335538
1,11.271661189044414,89.91357959072648,2063,29.326099,72.821394,4,8.19346565761504,13.0,0,1,0,13.278538044530531,69.61623144513882
0,2.9590061412641986,85.78574842746009,1914,26.911798,83.568199,3,19.695866722385993,4.0,0,1,0,4.153799703856521,78.48206437407677
1,11.302116412950587,83.59914618615294,2385,20.130449,78.580586,4,20.76370120886569,13.0,0,1,0,12.81098973155539,72.98626681395199
1,12.443780692935722,80.40304065606453,2360,20.608813,71.120957,2,16.03873133492732,13.0,0,1,0,13.473740393866363,77.90040299069359
0,4.563651241213272,85.84722916419894,1469,23.704268,80.134902,0,28.630629024178372,3.636937097582163,1,0,0,3.5248368359557096,82.26685594742438
0,4.443579544133784,93.53969479279726,688,19.246683,78.386067,4,30.052242549031394,3.4947757450968604,1,0,0,3.3100263211006693,85.22446776966885
1,13.119708930624927,89.3176737353923,1484,13.89896,74.399595,1,28.4372099552159,12.65627900447841,1,0,0,12.88564552288052,90.23936592255592
1,12.425588698738231,80.05785349262636,1911,9.350601,74.626005,3,18.838710613408765,13.0,0,1,0,12.81234553770306,86.57743161035171
1,12.018492229061179,88.99197492028247,2721,21.543087,72.060994,2,31.91821346339358,12.308178653660642,0,1,1,12.312500845169358,83.4549138389182
1,13.451936552106766,87.41624368344287,2604,16.824574,77.894751,2,17.59892047432504,13.0,1,0,1,12.697003228480794,79.43066676374029
0,2.2846401193399664,91.24069518765295,1737,19.857016,80.286714,3,25.157725084977738,3.984227491502226,0,1,0,4.176838373113651,72.39301746226315
1,12.410459496175696,87.07281545405215,1405,31.704784,79.392954,0,28.90413306703169,12.609586693296832,0,1,0,12.303848518874977,91.90889022699281
1,11.938305837667217,85.58474745208483,1884,18.215275,74.575151,4,24.381738495918217,13.0,0,1,0,12.506565460251895,84.89740377415322
0,2.6292798782047684,93.76160771756822,711,12.684918,75.711329,1,10.03293980879245,4.0,0,1,0,3.55060094699665,87.23178931208119
0,3.890209957969095,85.57351110348601,2658,23.977617,83.958488,5,30.423202286426363,3.4576797713573635,1,0,1,3.4975255141966963,82.78315556227602
0,5.901363970868443,91.12170713074819,879,30.216966,83.860092,4,7.7733375101386315,4.0,1,0,0,4.288795951004926,79.47931980136484
0,3.0245596257577447,88.04751748307953,786,16.748107,76.55242,3,30.837178015141365,3.4162821984858636,0,1,0,3.767140763448509,88.64418862309235
0,2.5552263777833413,93.3172361381878,1639,11.105588,72.801748,2,15.098311367231306,4.0,0,1,0,3.6306548889879853,81.05071488795357
1,11.22603757746042,80.00713828736555,1230,16.788875,76.47997,4,30.07783932544992,12.492216067455008,0,1,0,12.592906149493214,80.18131427967207
1,14.509173074962485,80.31532582638387,1291,13.187917,80.293888,4,18.86765106087971,13.0,1,0,0,13.075992399552234,79.2131932458975
1,14.372238220767699,87.25239174913203,2696,15.182139,80.098586,2,18.35631363454992,13.0,1,0,1,13.006044854580635,72.85806633812936
1,11.894675508322349,85.47863248687325,2128,16.353556,82.335957,3,28.501883060854475,12.649811693914552,0,1,0,12.464221140566558,83.66454367755792
1,14.471006036623598,85.93396568813596,2651,17.467325,72.10322,5,16.19767798338252,13.0,1,0,1,13.297486447332316,75.00980410708719
0,2.682743357616492,91.40547507310357,837,18.273773,75.759097,3,33.5924656751161,3.1407534324883897,0,1,0,3.4640716925035018,88.0017166511299
1,12.259476880870743,87.21872448970522,572,16.461405,83.364016,3,28.604927932538136,12.639507206746186,0,1,0,12.325345234113655,96.48131646757088
0,2.3765572947154565,90.54333247992474,665,19.338075,77.954505,1,31.00813680835018,3.399186319164982,0,1,0,3.6541410380893224,83.89916256626134
1,11.482119229673831,80.33996170039306,2929,17.992237,78.812474,3,27.88506778253025,12.711493221746975,0,1,1,12.925132124999758,70.92487104674073
0,3.079145277205116,94.4217727377611,542,26.601854,80.896207,1,8.793430901169488,4.0,0,1,0,3.6196216271761643,91.88523650028952
0,3.354314816482115,86.50782829061605,2164,13.453552,83.438103,5,6.1175433963643755,4.0,0,1,0,4.432434798194008,78.39880018288108
1,12.726372976021167,86.17134287349683,1448,30.881653,74.24711,4,23.858624227242796,13.0,0,1,0,12.911554828358739,90.90818147662429
1,12.70485439254597,83.65982998797938,1004,20.860246,78.618573,2,13.914950550821075,13.0,0,1,0,13.21284150819165,89.90012884354321
1,12.8633682212848,87.38914306387696,1964,19.872794,80.187848,4,26.774712615532763,12.822528738446724,1,0,0,13.309236790910573,85.72131430374228
1,14.150671420357458,85.57656124385842,1815,23.199803,77.840778,3,11.748589419410525,13.0,1,0,0,13.059761273234027,80.01589852876569
0,3.6674656546545976,91.90644667392448,1215,20.39755,72.99229,3,32.43565026282158,3.256434973717842,1,0,0,3.146207260075862,88.71241605421264
1,12.961379525089823,83.12477937776198,1263,27.588644,78.562143,0,8.7021339482998,13.0,0,1,0,12.603706126502379,90.10826601412556
1,13.636484299521138,85.17772843898643,1371,22.529034,82.326678,2,18.058023367804957,13.0,1,0,0,13.379284001254014,90.57299701732876
0,4.273509403414524,91.19402389745659,2564,25.62277,80.56409,5,34.628250985784305,3.0371749014215697,1,0,1,3.466223012026726,79.10713608612201
0,4.883956399529993,94.82210974025344,2918,22.726786,81.23921,4,8.032311379098456,4.0,1,0,1,3.5236931567218472,71.80736757191855
0,5.76262286603964,90.68164672508058,1175,30.407806,80.667277,1,23.474749013405763,4.0,1,0,0,4.4031495187410075,80.53026652701367
1,12.002774596343434,85.1024870701745,797,9.856774,84.454488,3,5.716072241634775,13.0,0,1,0,13.488852858932882,81.15421737410553
0,4.517954454966116,88.59255994453103,692,31.13618,81.014775,1,23.784619999855465,4.0,1,0,0,4.49414885642668,96.30194401460564
0,3.1595446480778135,85.79778594079457,2378,13.464885,76.931096,2,22.556165009466007,4.0,0,1,0,3.679036390693235,82.91508257384578
0,3.718950583743562,94.17108937414672,1995,23.4654,76.233601,0,14.355639903798505,4.0,0,1,0,4.4044434251557805,83.17007158587782
1,12.07794475784711,87.15303902082135,1891,27.23381,83.667061,0,16.612544255048604,13.0,0,1,0,13.473820482462363,76.58624275384747
0,2.401350039494294,93.32687863764109,657,16.81656,83.735145,2,11.822555691706071,4.0,0,1,0,3.8668432784723286,82.06006761021966
1,14.606701988194327,84.83792747583091,710,30.081645,73.636078,5,17.04075233279495,13.0,1,0,0,13.490758445170954,85.29056456976626
1,12.198469549918787,86.32900474563372,2745,14.437943,77.030394,5,12.105976282540011,13.0,0,1,1,12.59732889358558,82.28640656333206
1,11.996618278297584,82.40279857988283,1938,19.999618,71.719866,1,24.185695721244166,13.0,0,1,0,12.985192283471683,80.424259948259
0,3.3216164950313174,88.0343676038491,1124,30.151826,80.818497,0,16.17452938629924,4.0,0,1,0,4.240806777395383,85.18809717635935
0,2.135074287648855,92.69195744728763,1287,30.321746,75.03738,2,33.2176591803866,3.17823408196134,0,1,0,3.4946686694414715,79.96905618207383
1,14.433500979459392,85.28865074858686,884,30.729603,73.415674,1,20.72481253936953,13.0,1,0,0,12.89498842392962,80.19487444470228
1,11.164300258919987,84.95835641400612,2203,16.506562,71.279677,5,26.240343640534128,12.875965635946587,0,1,0,12.619334501470336,74.43465757449651
1,11.247829169973198,85.87391398186932,2099,26.770461,83.932734,5,27.65040202734225,12.734959797265775,0,1,0,13.154648948889513,70.43680221083685
0,2.165891671193469,94.28039292895404,661,20.91828,82.081693,2,22.12949892284383,4.0,0,1,0,4.1777570052607365,76.57634665932733
1,11.277366120671147,81.37891886238316,2668,24.827167,82.133484,2,18.882511250062137,13.0,0,1,1,13.276270347205134,66.67095773466012
1,13.801302639020257,81.34277738505466,1149,26.731047,82.251841,2,11.019622897569997,13.0,1,0,0,13.215592139471038,88.3978950045078
0,2.9008464964975538,91.71239809032488,1525,10.9528,74.340705,1,18.627242406032693,4.0,0,1,0,3.8534896569016395,82.84856839595915
1,14.503320465740265,82.8665896839079,2195,16.476072,74.338482,2,10.139710659374707,13.0,1,0,0,12.990735809594874,73.8991534385461
1,14.557186196575854,81.83390040533922,2529,27.547616,71.950526,2,16.238531493997982,13.0,1,0,1,13.244941705171989,74.23255508596135
0,4.09611307296717,88.15222779664705,1149,10.696313,76.087031,3,22.338912762044306,4.0,1,0,0,3.884687683879949,92.14074610912779
0,3.576486685001614,86.52237020844166,1475,20.364784,83.804464,5,6.675896250413503,4.0,0,1,0,4.165529836821452,86.73456848180162
1,13.51028009887672,88.37524643299808,1225,9.690211,79.980667,1,13.20181495460265,13.0,1,0,0,13.395918902900657,92.73138804023938
0,2.22739561862357,94.34634765898804,1814,31.904951,70.284983,2,11.455927585003392,4.0,0,1,0,4.323015814438855,69.97379804184715
0,4.454200135856869,86.90768281863382,1200,24.021075,84.219314,2,34.41248626789704,3.0587513732102964,1,0,0,3.0402621077886876,79.86061971931818
1,12.17014745882773,84.3890633280808,2786,29.907189,77.080783,2,18.56180265719464,13.0,0,1,1,12.525346516330124,82.51800942497604
1,13.146034632958237,80.7233869713169,2837,15.326747,70.333476,0,5.079017669767641,13.0,1,0,1,12.975347493697278,84.1081286073904
0,3.236771457595437,85.04367702877853,871,15.412872,70.992222,2,14.008664229819454,4.0,0,1,0,4.179446853483267,86.2182460411217
1,11.388062792451736,85.54578799114573,1230,24.973497,72.572386,2,28.007328224643206,12.69926717753568,0,1,0,12.916872039117873,78.56190753333863
0,4.078282579551172,93.90979760892324,853,12.931688,78.648463,2,7.80910469551254,4.0,1,0,0,4.13218252830309,95.19600051248082
0,3.042638997590905,94.11002882253689,1510,18.978871,70.11777,0,26.836875385240635,3.8163124614759365,0,1,0,3.3248621070720636,89.62776890518842
0,2.2130360151584125,85.47305617794703,1141,18.391104,79.912726,4,22.20099775828708,4.0,0,1,0,4.025276364967001,76.17259650191411
1,14.440356805122818,88.6891554959705,2917,13.197167,81.377371,5,24.770565114757716,13.0,1,0,1,12.678333530272852,67.79476725150035
0,1.66312693628636,86.97242954697457,1184,24.155555,81.198939,0,29.531214457000768,3.5468785542999233,0,1,0,3.969009379755609,71.0211755653075
0,5.566293136299787,90.8231430482919,810,12.762238,73.56445,0,25.71952261717606,3.9280477382823937,1,0,0,3.4886310926312585,75.17337956331471
0,2.643390706435549,87.58580608843717,2574,31.363635,73.641426,5,31.354623034089748,3.364537696591025,0,1,1,2.9082338690238787,84.48156837411669
1,14.15960735580001,81.05144551111394,1912,12.233718,76.360495,4,32.49160755005338,12.250839244994662,1,0,0,12.207791745473232,70.92184389673223
0,3.054013662095431,87.67852515341751,1694,12.459609,75.318924,3,22.47398484861882,4.0,0,1,0,4.417264811229862,77.89748850865568
1,14.0835587743887,89.60595772259337,2404,14.134173,74.381016,4,11.631527086321459,13.0,1,0,0,12.979073489442769,76.93514715054069
1,12.759355449857162,80.50440642357754,2442,25.508879,79.192743,3,32.88170260221228,12.211829739778771,1,0,0,12.226058636644687,82.45703186787526
0,3.496923892455726,87.47358018389639,2492,15.231281,78.322079,0,33.856541095769316,3.1143458904230683,1,0,0,2.936087402440246,81.93163509984521
1,14.539545888823348,87.14592597533508,2828,10.098398,72.965827,0,7.040302704385896,13.0,1,0,1,12.664893510935267,67.11347622111919
0,2.799556360923876,90.22295022315599,1003,11.768058,77.468996,2,15.358941207635285,4.0,0,1,0,4.350564651553251,79.47491709370625
0,5.354554434764713,88.20442029579326,1310,25.199263,78.332345,3,30.594840715715364,3.4405159284284634,1,0,0,3.862820311282304,78.53265876517591
1,13.073323984574362,82.01582361030766,637,25.235689,79.417677,5,16.604972774461505,13.0,1,0,0,13.290568979500783,94.64255005073579
1,14.981035379246032,86.84156550128769,2516,13.235605,78.129033,3,18.873137914663964,13.0,1,0,1,12.971023295103826,67.31987915857795
1,13.331025038152793,88.26535060834968,1943,23.678879,81.759182,0,6.25597612899771,13.0,1,0,0,13.030431178585998,87.27906140433204
0,2.9845045571297377,94.26256879566036,1990,13.210339,81.112093,3,18.45749609617871,4.0,0,1,0,4.267543775517675,77.21960781612063
0,5.572232490226593,87.2917956442983,1612,31.168373,77.206095,3,12.891764385100302,4.0,1,0,0,3.7570155891200785,73.78783098893484
1,13.357241512612212,82.58457653388825,1352,11.672711,74.913214,0,25.573363106221827,12.942663689377817,1,0,0,12.625853472173183,85.9261195956097
0,5.146944120831504,89.39055560457422,689,13.465497,76.314741,4,9.11334248392482,4.0,1,0,0,3.6733978249569743,81.8195370412547
0,4.116253141999968,90.57999918830178,658,27.262869,78.789423,4,18.361994319982422,4.0,1,0,0,4.099389630836555,96.54136488836586
1,11.953009287509909,84.68485116372509,2429,30.481333,84.625483,4,29.607082915091407,12.53929170849086,0,1,0,12.381666088052027,83.56843199457883
0,3.2208466524733628,86.31172639299011,2950,13.008817,83.71351,3,24.12812660078593,4.0,0,1,1,3.5738732588651536,81.7197339360821
1,14.313974800393055,86.8998481003697,1979,23.573981,82.717465,4,21.00545802139952,13.0,1,0,0,13.466819159536422,81.63344359143368
1,14.380893579555073,86.06357935209002,1549,12.041356,70.521275,4,11.591813231770754,13.0,1,0,0,12.984397058786314,78.29003479231241
0,2.7672780688852745,85.34803328624392,527,18.255028,82.341907,1,14.358903791421222,4.0,0,1,0,3.5916468311644287,89.12131237720845
1,14.796666487778943,85.75979724630152,1565,23.514445,83.208863,0,23.576242194183184,13.0,1,0,0,12.922070947626969,73.42904459848026
1,14.461982719014774,88.52538433685119,821,11.934234,76.575779,3,14.572907966987737,13.0,1,0,0,12.840098134448473,79.67615415433698
0,5.4324618016441875,94.27798599046044,2022,8.24536,76.535447,4,15.481287137729767,4.0,1,0,0,4.461876011884121,80.18414210239933
1,14.570765760963496,83.39020260676229,1332,17.930681,83.290862,1,9.46781580148142,13.0,1,0,0,12.542559996759842,73.05794235796346
1,12.428009718080258,84.3362482287008,1131,21.702916,73.407479,2,29.720921797492323,12.527907820250768,0,1,0,12.115951909062856,91.22442190982598
1,13.236822573247942,80.8195346643627,971,22.747376,75.947447,5,8.080859897826105,13.0,1,0,0,13.17625427294963,94.53931699701687
1,13.26427630210825,83.30814933760195,2081,25.649773,74.173929,5,30.621222557055358,12.437877744294465,1,0,0,12.454043999439206,81.49267697330956
0,3.366486622987866,89.6737586899468,1457,12.313869,70.439519,5,12.822279233352052,4.0,0,1,0,3.573096749659438,90.64889873328428
0,2.3813594258906248,93.6948032663923,2790,14.475468,82.636259,1,15.767816150776358,4.0,0,1,1,3.8414191080841604,71.44940317806464
1,12.994695783585069,86.20929379785257,2138,20.670256,81.948798,5,6.907186800515523,13.0,0,1,0,12.75798956530682,86.94293781721751
1,13.508579900390504,88.42975060397657,1870,30.113583,70.901548,3,31.394225033645267,12.360577496635473,1,0,0,12.810929979027833,83.6735007863733
1,12.555950375739704,83.16851276269705,2778,21.552308,82.579878,0,24.30126253229162,13.0,0,1,1,13.371151614667085,77.95798761072619
0,5.580063832271143,88.87942985764735,2397,29.204148,79.570798,2,19.159086858403064,4.0,1,0,0,3.779526914311791,70.00963082040649
0,2.716465572113161,93.95005762251307,1592,24.333345,76.353452,5,11.230718997512117,4.0,0,1,0,4.125259236217197,77.95206335895963
1,11.022360325522431,80.45094545910213,1887,8.811411,84.784314,5,29.772815761157176,12.522718423884282,0,1,0,12.214009278955224,78.64851046567208
1,10.779175826088483,89.39631726633692,2073,18.148183,75.612971,5,30.638596090180805,12.436140390981919,0,1,0,12.44649800327583,72.96177822812655
1,12.9028778885661,80.34555878607469,1578,27.617482,79.767663,1,19.857560840241327,13.0,0,1,0,12.856186925243978,91.64309036677878
0,5.11789623194737,91.80272363863375,2221,30.518981,77.572445,3,16.43384709020932,4.0,1,0,0,3.9527847199035318,77.24388487956162
0,4.667528595853469,88.31713481338971,1663,24.902786,83.969945,5,15.394049257821782,4.0,1,0,0,4.082670500923686,85.83641905070218
1,12.590186266051578,83.98965359580068,791,17.08328,73.783515,5,18.231122184850598,13.0,0,1,0,13.406873663966149,87.8781260208543
0,5.456941086778624,88.37876928408018,2145,24.152968,81.022846,3,11.823292614771209,4.0,1,0,0,3.874038033843976,73.44596947065352
1,11.105456213109711,88.45357744696962,2203,21.057344,75.104619,1,29.92255560430238,12.507744439569763,0,1,0,12.928466299336527,70.75489913773184
1,14.980418237488932,85.69278201811403,1784,17.079698,75.772034,2,18.141176522171374,13.0,1,0,0,13.404118549870859,75.31700312381926
1,13.694121331295506,80.87514590397035,1088,18.638407,76.214029,4,7.1022339515797475,13.0,1,0,0,12.657024818762162,84.18903487466656
1,13.880177842269973,86.81940505747852,2528,16.387997,82.156608,4,5.187500426377753,13.0,1,0,1,12.949874423377317,78.05696581107344
1,13.879052032962676,89.42460622611335,2823,19.555079,70.28972,4,24.79036154934155,13.0,1,0,1,12.996740161014293,77.06188128051618
1,11.12043309721807,83.54868935801824,2884,27.746397,73.926776,4,19.940862592537812,13.0,0,1,1,12.87452034065269,68.0391275656538
0,4.566917029545159,91.56566124689593,1618,17.986812,75.605544,4,24.86604034006589,4.0,1,0,0,4.430888219075747,90.54971189530588
0,5.042833136840924,85.4763376321915,2050,31.381113,79.434683,1,15.168756183023051,4.0,1,0,0,3.8812379068863407,78.13404770045416
0,2.487717277531476,91.57274911991705,867,25.380439,75.741344,5,34.942059341757606,3.0057940658242392,0,1,0,2.678073432381682,93.76143845149795
1,14.49541248366998,88.75950577456045,1963,29.306366,84.933784,5,11.803467970645915,13.0,1,0,0,12.780066316242094,73.03153832572113
1,11.743294568728079,81.9472660270219,546,16.062185,77.277269,1,7.988028570964698,13.0,0,1,0,12.579765539140375,88.90529029587704
0,2.1508589984402007,93.17759060368114,2639,30.256027,74.713535,4,28.991372544238395,3.6008627455761606,0,1,1,3.7806791815034546,70.50679816936747
1,13.241092816155769,89.98714571350848,885,21.855546,84.123439,1,10.22649410535652,13.0,1,0,0,13.331141005614887,94.67451810540882
1,13.052705162917725,80.5198122728261,2354,22.215192,76.118859,1,34.037276126136646,12.096272387386335,1,0,0,11.898070772742832,76.68365609825108
1,14.689237536472925,83.65587919587696,2275,17.806894,78.527544,0,20.832768815730475,13.0,1,0,0,13.019464491971112,71.92726955498188
0,4.023685391960658,88.0360623859146,2857,21.563264,79.390996,5,15.728789335426734,4.0,1,0,1,4.218762324860904,83.76423067099753
1,11.63067089355204,82.50772239734398,2711,22.07026,79.024629,4,5.073854834418263,13.0,0,1,1,13.47067408464638,68.0449680890566
1,11.353055874134206,85.66212475200521,849,8.442547,70.254629,4,14.961977074335852,13.0,0,1,0,12.673626195675219,82.54929678458987
1,12.763478252726685,81.46060214241858,1109,15.098355,83.129941,3,27.59364289083638,12.740635710916361,1,0,0,12.48281233873491,91.64834086008224
0,4.990951125790778,94.45835890348204,2541,16.377295,72.051721,2,31.565967755527893,3.3434032244472105,1,0,1,2.9220558660513007,66.60604740260523
0,2.6498971756945733,92.08434548840285,2729,16.649528,75.379105,0,15.460235812541791,4.0,0,1,1,4.104741186661002,71.80655989033572
1,13.903466862992564,83.68314032732718,1318,27.79907,78.483131,3,32.711914663532696,12.228808533646731,1,0,0,12.315860950665174,77.53394087672609
0,2.1728145893784183,94.91885500414513,923,11.127849,71.97407,2,20.921808243391617,4.0,0,1,0,3.570660865890421,81.40653723487998
1,14.269474640801384,80.97253247038273,2092,20.369329,70.024923,1,17.093058167771154,13.0,1,0,0,13.457321603271586,81.41846962470203
1,13.902952025296326,89.78161227347597,2225,18.350818,77.411359,0,12.555953257907477,13.0,1,0,0,12.829273949489886,78.1382192419356
0,2.994145385677282,85.87935756068839,755,31.063313,79.137037,1,10.44804365853756,4.0,0,1,0,4.320505306018672,82.96140079658609
1,11.579549112037935,89.61332409305702,1831,12.000437,72.205135,5,25.205976814944194,12.979402318505581,0,1,0,12.53943634972704,81.24612762310895
1,14.048573845450925,83.68953998912816,1068,24.97251,80.729358,4,14.913401676916955,13.0,1,0,0,12.830730292209632,82.48156446758706
0,5.111428592561563,92.10636970180278,1143,20.686041,76.633755,2,5.716874875860598,4.0,1,0,0,4.145611043457723,84.6268245089616
0,3.0925702201000203,87.57395409111761,1832,26.631202,72.62857,1,29.111939611677883,3.5888060388322116,0,1,0,3.3487856169075636,88.27784603192457
0,5.444774660409915,94.26552794559237,2382,12.544774,74.504665,0,26.099879237061455,3.8900120762938544,1,0,0,3.8128029263471466,71.77028265937233
1,11.16881126201879,83.74745860049043,548,26.448857,80.249404,5,18.89073328036752,13.0,0,1,0,12.612711973946366,82.82099288072425
0,3.0881608959877727,86.10880463453937,1400,20.364808,79.384425,4,32.86228390618405,3.2137716093815953,0,1,0,3.507217036600735,88.80943859387037
0,2.315336033683371,88.19092812991695,1996,30.822016,73.619063,0,9.123062106690814,4.0,0,1,0,3.6093388458731255,77.07997187810246
0,1.6007690332382372,90.73343140560914,2273,13.93449,76.221224,0,30.697387445932105,3.4302612554067897,0,1,0,2.9912027783853925,74.73066254852846
0,4.869974637714993,91.48568038834277,2856,10.067542,75.740367,2,28.572752008432104,3.6427247991567895,1,0,1,3.7544850316198763,74.56510393904884
1,11.428698726880869,80.91466362757934,2461,11.669174,72.937387,3,8.797511680510226,13.0,0,1,0,13.062945159085258,71.3525356779561
0,4.979057584260971,85.3669673417248,960,17.717645,82.274749,0,24.583165007377545,4.0,1,0,0,3.6949619189606113,82.3590433469964
1,10.628613776377279,80.1908290309536,2902,14.347986,71.076394,0,30.20371522809513,12.479628477190486,0,1,1,12.751592798879589,64.2602097749769
0,2.4229974673749948,94.38567858560343,2900,30.017542,71.15415,4,9.079207393881862,4.0,0,1,1,4.338333651985812,66.34663815389183
0,3.383337259327607,94.61836073707336,2900,19.788417,84.540276,3,7.475457445193372,4.0,0,1,1,4.195884025681169,77.37453233646438
0,2.2736685135742367,86.83836086954581,2207,21.754017,71.709946,2,17.204593548812248,4.0,0,1,0,3.934760599105356,72.35407914468881
